date,time,connection,download,dayOfWeek
2019-08-13,10:32:00,0.451,118.7658,2
2019-08-13,12:02:21,1.4352,139.6358,2
2019-08-14,09:01:53,0.4836,112.4918,3
2019-08-14,10:01:55,0.468,114.0518,3
2019-08-14,11:02:36,0.4524,155.1423,3
2019-08-14,13:02:13,0.78,131.4614,3
2019-08-15,08:02:05,0.468,124.2698,4
2019-08-16,09:02:18,0.468,137.171,5
2019-08-16,10:02:31,0.4836,149.5731,5
2019-08-16,11:32:10,0.4212,128.903,5
2019-08-19,10:01:54,1.4664,111.9146,1
2019-08-19,11:03:01,0.468,179.9775,1
2019-08-19,12:02:52,0.5148,171.2727,1
2019-08-20,09:32:14,0.468,133.193,2
2019-08-20,11:02:58,12.558,164.8455,2
2019-08-26,08:31:54,0.4836,112.8818,1
2019-08-26,09:02:12,0.702,131.1494,1
2019-08-26,10:02:22,0.4524,141.1022,1
2019-08-27,08:32:07,0.5148,125.8298,2
2019-08-27,11:02:17,0.468,135.7982,2
2019-08-27,13:02:00,0.468,118.7006,2
2019-09-03,08:31:51,1.482,108.6854,2
2019-09-03,09:31:53,0.4524,112.367,2
2019-09-03,10:03:21,0.4524,200.2888,2
2019-09-03,10:32:13,0.468,132.3818,2
2019-09-03,11:02:13,0.4836,131.8202,2
2019-09-03,11:32:13,3.276,129.1994,2
2019-09-04,09:02:39,0.9984,157.7787,3
2019-09-04,10:33:11,0.4836,189.8055,3
2019-09-04,11:32:55,1.404,173.5815,3
2019-09-04,12:02:17,0.468,136.0322,3
2019-08-13,14:32:51,3.4476,167.4039,2
2019-08-13,15:01:51,0.4524,110.6354,2
2019-08-13,15:32:14,0.468,132.803,2
2019-08-13,16:03:55,0.4836,233.8912,2
2019-08-14,14:03:36,0.468,214.75,3
2019-08-14,14:32:23,0.546,141.5702,3
2019-08-14,15:02:13,0.4524,132.023,3
2019-08-14,17:02:14,1.716,132.0698,3
2019-08-14,17:31:59,0.4836,118.1078,3
2019-08-14,18:01:51,0.468,110.2142,3
2019-08-15,14:03:19,0.4836,197.6211,4
2019-08-15,15:03:23,3.4632,199.0095,4
2019-08-15,17:02:37,0.4524,156.2967,4
2019-08-16,15:02:44,0.468,163.4883,5
2019-08-16,16:02:29,0.4368,147.8571,5
2019-08-16,16:32:03,0.4836,122.3822,5
2019-08-16,17:02:09,0.468,128.4974,5
2019-08-19,14:02:38,0.4992,157.5759,1
2019-08-19,15:02:43,0.4524,161.8347,1
2019-08-19,17:02:16,0.4992,135.4238,1
2019-08-19,18:01:59,0.4524,118.0142,1
2019-08-20,14:02:57,0.4368,175.9215,2
2019-08-20,15:01:57,0.468,115.721,2
2019-08-20,17:02:09,0.4836,127.8266,2
2019-08-26,14:02:43,0.4524,162.4275,1
2019-08-26,14:32:21,0.468,139.667,1
2019-08-26,15:33:34,0.5616,212.722,1
2019-08-26,17:01:52,0.4992,110.573,1
2019-08-26,17:32:45,0.4836,163.9719,1
2019-08-26,18:32:03,3.4476,119.0438,1
2019-09-02,14:02:54,0.468,172.5207,1
2019-09-03,14:02:17,3.4632,132.8342,2
2019-09-03,17:02:09,0.5616,128.0762,2
2019-09-04,13:31:54,0.4836,112.8818,3
2019-09-04,14:02:36,0.4992,154.7991,3
